vocabulary,pos,mean
presume,v.,假定…為事實，認定
turbulence,n.,亂流；湍流；騷亂
tariff,n.,關稅
tame,v.,馴服
merger,n.,(公司)合併
abolish,v.,廢除
ponder,v.,深思
perplex,v.,使困惑
oxidize,v.,使氧化
virtue,n.,優點；美德
imaginative,adj.,想像力豐富的
concede,v.,承認
sterilize,v.,消毒殺菌；使貧脊
impair,v.,損害(健康、價值)
philanthropic,adj.,慈善的，博愛的
surge,v.,蜂擁而至
embark,v.,從事，著手
irrelevant,adj.,不切題的，不恰當的
outlook,n.,觀點；瞭望
exile,n.,驅逐出境，流放
imaginary,adj.,想像中的，虛構的
defiance,n.,違抗的，藐視，挑戰
itinerant,adj.,流動的；巡迴的
oath,n.,誓約
doom,v.,注定
nuisance,n.,討人厭的事物；騷擾行為
whim,n.,一時興起的念頭
outset,n.,開始，發覺
authentic,adj.,可靠的；真實的
finite,adj.,有限的，限定的
prototype,n.,原型，模範
anchor,v.,使固定；用錨繫住
maneuver,v.,駕駛
coherent,adj.,一致的，連貫的；相互密合的
soothe,v.,使平靜，使鎮靜
rebel,v.,反抗，造反
appraise,v.,估價，評價
