vocabulary,pos,mean
lure,v.,吸引，誘惑
irresistible,adj.,不可抗拒的，不能壓制的
prosperity,n.,繁榮，成功
overtax,v.,使負擔過重；對…課稅過高
cope,v.,處理，對付
antiquated,adj.,舊式的，過時的
layman,n.,門外漢，一般人
boon,n.,好處，利益
manifestation,n.,表明；政策發表；示威遊行
lament,v.,悔恨
realm,n.,範疇，領域
novel,adj.,新穎的，新奇的
obsess,v.,使著迷；使困擾
stationary,adj.,安裝固定的；靜止不動的
vessel,n.,船隻；器皿；血管，導管
economy,n.,節省(錢等)；經濟狀況
demolish,v.,毀壞；拆除
dormant,adj.,休眠的；暫時不活動的
compact,v.,使緊密，壓緊
equilibrium,n.,平衡，均勢
discharge,v.,排放；釋放
smother,v.,悶住，使窒息；抑制
alter,v.,改變；修改
burgeon,v.,迅速成長；萌芽
celestial,adj.,天的，天空
permeate,v.,遍布；浸透
eject,v.,噴出；驅逐
inherit,v.,經遺傳而獲得；繼承
slab,n.,厚石板，厚的切片
commission,v.,委託，交付…任務
patriot,n.,愛國者
tolerate,v.,忍受，容忍
replenish,v.,補充
dehydrate,v.,脫水，失水
intoxication,n.,中毒；酒醉
pasture,n.,牧草地
