vocabulary,pos,mean
research,n.,研究，調查
devise,v.,設計出來，發明
revolutionary,adj.,革命性的
innovative,adj.,創新的
feature,n.,特徵，特色
feature,v.,以…為特色，特別刊載
inspiration,n.,靈感
sufficiently,adv.,充足地
patent,n.,專刊，專利權，專利品
envision,v.,想像，在心中描繪(未來的事等等)
extend,v.,延長(期間)，表示(感謝)，給予
following,prep.,在…之後
following,adj.,接下來，隨後的
intend,v.,打算的(做…)，意圖…
grant,v.,(承認並正式)授予，給予
grant,n.,(研究經費、獎學金)補助金
allow,v.,允許…，使…能夠做某事
inspect,v.,檢查，調查
improve,v.,改善，提高
increasingly,adv.,漸增的，越來越
invest,v.,投資，投入(時間、金錢等)
various,adj.,各種的，多樣的
upgrade,n.,升級，改良
upgrade,v.,使升級，改進
manual,n.,說明書，手冊
explore,v.,探勘，探索
response,n.,答覆，反應
appearance,n.,外觀，外貌
successful,adj.,成功的
hold,v.,容納…，裝著…；舉辦，舉行(會議等)
advance,n.,進步的，發展
reliable,adj.,可信賴的，可靠的
quality,n.,品質
domestic,adj.,國內的
development,n.,開發，發展
availability,n.,可得性，可利用性
update,n.,更新，最新消息
update,v.,使成為最新
accurate,adj.,精確的
complicated,adj.,複雜的
accomplished,adj.,熟練的，有造詣的
inquiry,n.,詢問，問題
indication,n.,徵兆，跡象
manufacturer,n.,製造商，製造業者
compatible,adj.,相容的，能共處的
superior,adj.,優秀的，較好的
absolute,adj.,絕對的，完全的
broaden,v.,拓寬，擴大
corrosion,n.,腐蝕
