vocabulary,pos,mean
career,n.,職業
cargo,n.,貨物
carnival,n.,嘉年華會
carpenter,n.,木匠；木工
carrier,n.,運輸工具；(疾病)帶原者
carve,v.,雕刻
casual,adj.,休閒的
casualty,n.,死傷人數
catalogue,n.,目錄
catastrophe,n.,大災難
categorical,adj.,明白的，直接了當的
causally,adv.,有原因地
caution,v.；n.,警告；謹慎
cave,v.,塌落
cavity,n.,蛀牙
cease,v.,終止；停息
celebrated,adj.,著名的
celebrity,n.,名人
cement,v.；n.,使鞏固；水泥
centigrade,n.,攝氏
century,n.,世紀
cermaic,adj.,陶瓷的
ceremony,n.,宗教典禮；儀式
certain,adj.,確定的
changeable,adj.,多變的
characteristic,n.；a.,特色，特徵；獨特的
charge,v.；n.,向…索費，充電，控告；費用
charitable,adj.,慈善的
chase,v.；n.,追逐
chasity,n.,貞潔，貞操
cheat,v.,欺騙
cheeky,adj.,厚臉皮的
cheer,v.；n.,歡呼，喝采
chest,n.,胸腔
chimpanzee,n.,黑猩猩
chin,n.,下巴
chisel,v.；n.,鑿，雕，刻；鑿子
cholesterol,n.,膽固醇
chronic,adj.,慢性的，長期的
chronicle,n.,編年史
