vocabulary,pos,mean
delinquent,adj.,(稅款)到期未付的，拖欠的
overdue,adj.,逾期未付的，超過支付期限的
regrettabley,adv.,遺憾地
balance,n.,結餘，帳戶餘額
deposit,v.,存(款)
investigation,n.,調查
account,n.,帳戶；說明；考慮
account,v.,解釋，說明(…的理由)；佔(多少比率)
statement,n.,結算單，聲明
amount,n.,總數，總額
withdrawal,n.,(存款的)提領
previously,adv.,之前
due,adj.,到期的，到支付期限的；應支付的
receive,v.,收到，接收
expect,v.,預期，期待
certificate,n.,證書
document,v.,紀錄，用文件證明
spending,n.,花費；支出
successfully,adv.,成功地
bill,v.,開帳單給…
bill,n.,帳單，請款單
pleasure,n.,愉快，高興，樂意
study,n.,研究
summary,n.,概要，大綱
temporary,adj.,臨時的，暫時的
lower,v.,降低(量，價格)
transaction,n.,交易，買賣
double,v.,(使)變成兩倍
idemtification,n.,身分證明
dissatisfaction,n.,不滿意
in common,phr.,共通地，共同地
interest,n.,興趣；利益；利息
relation,n.,關係
tentatively,adv.,試驗性地，暫時地
alternatively,adv.,不然的話，或者
attentive,adj.,注意的，關心的
convert,v.,轉換，轉變
heavily,adv.,程度很大地，非常
loan,n.,借貸，貸款
unexpected,adj.,意料之外的
cash,v.,兌現
mortgage,n.,抵押貸款
payable,adj.,應支付的
personal,adj.,個人的
