vocabulary,pos,mean
bribe,v.,賄絡
brick,v.；n.,用磚堵住；磚
bridal,adj.,新娘的
brief,v.；adj.,向…做簡報；簡短的
bright,adj.,明亮的
brilliant,adj.,聰明的
brink,n.,邊緣
brisk,adj.,輕快的
broad,adj.,寬的；遼闊的
brood,v.,孵蛋；沉思
brow,n.,額頭
brutal,adj.,粗暴的
bud,n.,芽；苞；蓓蕾
budget,n.,預算
bulk,adj.,大量的
burgundy,n.,葡萄酒；酒紅色
burial,n.,葬禮
burst,v.,使爆裂
byproduct,n.,副產品
cabinet,n.,櫥櫃
cache,n.,隱匿處
calcium,n.,鈣
calmly,adv.,平靜地
caloric,adj.,熱量的
campaign,v.,發起…運動
cancerous,adj.,像癌般擴散的
candidate,n.,候選人
canon,n.,準則，標準
canyon,n.,峽谷
capable,adj.,有能力的
capacity,n.,容量
cape,n.,岬，海角
capital,n.,資金；首都；大寫字母
capitalism,n.,資本主義
captivate,v.,使著迷
capative,n.；v.,俘虜；受監禁的
caramel,n.,焦糖
carbohydrate,n.,碳水化合物；醣類
carbonate,n.,碳酸鹽
carass,n.,動物屍體；殘骸
