vocabulary,pos,mean
rage,n.,流行(風氣、感冒)；肆虐
cement,v.,使結合在一起
expel,v.,將…除名；驅逐
cereal,n.,穀類
temperate,adj.,溫帶的；溫和的；適度的
hardy,adj.,耐寒的；堅強的
mural,n.,壁畫
stagnate,v.,停滯，不發展
subduction,n.,隱沒作用
trigger,v.,引發
seedling,n.,幼苗，幼木
germination,n.,發芽
penetrate,v.,滲透；穿透
allergic,adj.,過敏的
buoyancy,n.,浮力
respiratory,adj.,呼吸作用的
pluck,v.,叼，啄，拔
illiteracy,n.,文盲
contact,n.,關係，門路
mandatory,adj.,必修的；義務的
tendon,n.,肌腱
peer,v.,仔細看，盯著看
localize,v.,限於某範圍
rabies,n.,狂犬病
caulk,v.,填塞
top-notch,adj.,頂尖的
disguise,v.,偽裝，假扮
peck,v.,以喙啄
vaccinate,v.,接種疫苗
camouflage,n.,偽裝，掩飾
startle,v.,使驚嚇
apprehensive,adj.,憂慮的，恐懼的
peril,n.,危險
disposal,n.,自由處置
tangible,adj.,明確的
bewilder,v.,使困惑，使狼狽
deplore,v.,譴責
withhold,v.,扣留，保留
pragmatic,adj.,實用的
plaintiff,n.,原告，起訴人
