vocabulary,pos,mean
whereby,adv.,藉此，由此
impose,v.,加強(法律等)於；課徵
spur,v.,激勵；疾馳
municipal,adj.,市政的
subsidize,v.,給予補助或津貼
exempt,adj.,被豁免的
circulation,n.,發行量；循環
dedicate,v.,奉獻給，致力於
insulation,n.,隔離，孤立；絕緣
optical,adj.,光學的；視力的
associate,v.,使相關；聯想；結交
stiffen,v.,變得堅硬；使僵硬
induce,v.,引起；引誘
locomotion,n.,移動；運動
exert,v.,施加；盡力；發揮
furnish,v.,提供；布置
resin,n.,樹脂
intricate,adj.,錯綜複雜的
army,n.,一大群
inhibit,v.,意志，阻礙
foreign,adj.,外來的；有害的
improvisation,n.,即興演出，即興創作
strive,v.,努力(以獲得…)
initialliy,adv.,最初，一開始
unadorned,adj.,簡樸的，未經修飾的
conbustible,adj.,可燃性的，易燃的；易怒的
saturate,v.,使飽和；浸透
awkard,adj.,生硬的，笨拙的
ascribe,v.,歸因於，歸咎於
constituent,n.,成分；選民
straightforward,adj.,易懂的；直率的
ore,n.,礦石
beam,n.,樑，橫柱
viable,adj.,可實行的
span,v.,跨越
spawn,v.,大量產出，大量湧現
