vocabulary,pos,mean
masonary,n.,石造建築，石造工程
precedent,n.,先例
nucleus,n.,原子核；核心；中心
neutral,adj.,中性的；中立的
offset,v.,抵銷，補償
stray,adj.,游離的；迷路的
hive,n.,蜂巢
mature,v.,成熟
gland,n.,腺
forage,v.,搜尋(糧草)
ensure,v.,確保
duplicate,v.,複製；複寫
credential,n.,資格證明書；信用狀
elastic,adj.,有彈性的；伸縮自如的
inhabit,v.,居住於，棲息於
refine,v.,琢磨；精進
dominate,v.,支配，控制
emigrate,v.,移居，移民
envision,v.,想像
call,n.,裁定
whereabouts,n.,所行之處，行蹤
enigmatic,n.,瓷器
bogus,adj.,假的，偽造的
phase,v.,分階段實施
susceptibal,adj.,易受…影響或損害的
abide,v.,遵守，忠於
infirmary,n.,醫務室，醫院
scrutinize,v.,仔細或徹底檢查
torso,n.,軀幹
contaminate,v.,汙染
fetch,v.,賣得(價錢)；取來
deplete,v.,用盡，使枯竭
illicit,adj.,非法的
loot,v.,搶劫，劫掠
