vocabulary,pos,mean
stagnant,adj.,停滯的，不景氣的
dramatically,adv.,戲劇性地
brisk,adj.,活潑的，興旺的
untable,adj.,不穩定的，易變的
rapidly,adv.,迅速地，很快地
soar,v.,(物價等)高升，急漲
assert,v.,斷言，主張
boost,v.,推動，促進(景氣)，使上升
analyst,n.,分析師
potential,adj.,潛在的
potential,n.,潛力，可能性
pleased,adj.,滿意的，高興的
remain,adj.,保持(…的狀態)，仍然有待…
limited,adj.,有限的
costly,adj.,昂貴的，代價高的
particular,adj.,特定的
drastic,adj.,激烈的，猛烈的，徹底的
evenly,adv.,均勻地，平均地
evidence,n.,證據
prospect,n.,展望，預期
lead,v.,領導，引導；導致(某種結果)
fall,v.,(價格、數值)下降
period,n.,期間，時期
indicator,n.,指標
industry,n.,工業，產業
likely,adj.,很有可能(做…)的
boom,n.,迅速發展
director,n.,主管，董事
substitute,n.,代替品
substitute,v.,代替
consequence,n.,結果，後果
fairly,adv.,相當，頗為
economical,adj.,經濟的，節約的
thrive,v.,茁壯成長；興旺，繁榮
implication,n.,暗示，可能的結果
wane,n.,減少，衰退
prosperity,n.,成功；(經濟上的)興盛，昌盛
despession,n.,不景氣，蕭條
dwindle,v.,逐漸減少，逐漸變小
impede,v.,妨礙，阻礙
promising,adj.,有希望的，有前途的
adversity,n.,逆境，不幸
