vocabulary,pos,mean
prestige,n.,聲望，威望
tornado,n.,龍捲風
conventional,adj.,傳統的，依照慣例的
discern,v.,辨識出
predict,v.,預報，預言
raw,adj.,原始的，原本的
instantaneously,adv.,立刻地
roughly,adv.,概略地
orchid,n.,蘭花
reproductive,adj.,生殖的；複製的；多產的
petal,n.,花瓣
compound,n.,化合物，混和物，合成物
boom,n.,(人口、貿易等)突然增加
profession,n.,職業
accumulate,n.,積聚，累積
impratical,adj.,不切實際的
navigation,n.,航行，航海
recipe,n.,秘訣；處方；烹飪法
commodity,n.,商品；日用品
workshop,n.,小工廠；專題討論會
depress,n.,使消沉，抑制(景氣、心情等)
exceed,v.,超過
fragile,adj.,易碎的
comtemporary,adj.,現代的；同時代的
restrict,v.,限制
interdependence,n.,互相依賴
distinguish,v.,使…有區別；區別…的不同
consciously,adv.,有意識地
property,n.,特性，特質；資產
weigh,v.,秤重；衡量，考慮
conceal,v.,隱藏
potential,n.,潛力
span,n.,全幅，跨度；一段時間
impact,n.,撞擊；影響
limestone,n.,石灰岩
backdrop,n.,背景
land,v.,著陸，上岸
recover,v.,尋獲；恢復
pioneer,n.,先驅
puzzle,v.,使困惑
