vocabulary,pos,mean
allot,v.,分配，撥給
glossary,n.,詞彙表，小辭典
rally,v.,聚集；恢復
appendix,n.,附錄；盲腸
thorn,n.,刺，荊棘
scapegoating,n.,轉嫁，遷怒
consolidate,v.,鞏固，加強；合併
extort,v.,勒索，強奪
endorse,v.,支持；背書
frown,v.,皺眉；不贊成
fiscal,adj.,財政的，會計的；國庫的
unfold,v.,揭露，打開
premise,n.,前提，假定
infringe,v.,侵犯，違反
contempt,n.,藐視
manifest,v.,顯現，表現
allure,v.,誘惑，吸引
augment,v.,增加，增大
benign,adj.,良性的，溫和的
enzyme,n.,酶，酵素
ardor,n.,熱忱，熱情
dismantle,v.,廢除，拆解
apathy,n.,漠不關心
narcotic,n.\adj.,毒品，麻醉劑(的)
admonish,v.,告誡，責備
convene,v.,召集，召開
captivity,n.,囚禁
detain,v.,拘留，扣押
curtail,v.,縮短，減少
agenda,n.,議程，議程表
antipathy,n.,反感，憎惡
smuggle,v.,走私
aggravate,v.,使惡化；激怒
