vocabulary,pos,mean
ash,n.,灰燼
ashamed,adj.,羞恥的
ashore,adv.,在岸上：向岸上
asleep,adj.,睡著的
aspect,n.,方面；觀點
asphalt,n.,瀝青，柏油
aspiration,n.,志向，抱負
aspirin,n.,阿斯匹靈
assault,v.,攻擊，襲擊
assemble,v.,集合；拼湊
assert,v.,斷言；聲稱
assess,v.,評價
asset,n.,財產，資產
assist,v.,幫助，協助
associate,v.,與…有關聯
assume,v.,假設；登上…職位
assurance,n.,保證，擔保
asthma,n.,氣喘
astonish,v.,使驚訝
astray,adv.,迷路，走失
astronaut,n.,太空人
asylum,n.,庇護權；精神病院
athlete,n.,運動員
the_atlantic,n.,大西洋
atmosphere,n.,大氣層；氛圍
atom,n.,原子
attach,v.,使…貼附於
attache,n.,專員；隨員
attain,v.,獲得，達到
attempt,v.；n.,企圖，試圖
attend,v.,參加
attentive,adj.,注意的，留意的
attic,n.,閣樓
attitude,n.,態度
attract,v.,吸引；引起…注意
attribute,v.,將…歸咎於
auction,v.；n.,拍賣；拍賣會
authentic,adj.,真實的；可靠的
authoritarian,adj.,獨裁主義的
authorize,v.,授權給…
