vocabulary,pos,mean
realize,v.,領悟到；實現
awaken,v.,意識到；喚醒，醒來
species,n.,物種
ecosystem,n.,生態系
chance,n.,機運，偶然；機會
geology,n.,地質狀況，地質學
vapor,n.,蒸氣
respective,adj.,分別的
bother,v.,費心，添麻煩的
peculiar,adj.,獨特的；奇怪的
whereas,conj.,卻，但是
essential,adj.,不可或缺的；本質的
migrate,v.,移居，移動
chaos,n.,混亂；渾沌
utility,n.,公共事業；公用
civic,adj.,市民的
occur,v.,發生
preserve,v.,保留；保存
assume,v.,承擔；假定；假裝
privilege,v.,賦予…的特權
strip,v.,剝去
grand,adj.,宏偉壯觀的
incessant,adj.,持續不斷的
weave,v.,編織
distinct,adj.,不同的；明顯的
sphere,n.,球體
coarse,adj.,粗顆粒的，粗糙的
timber,n.,樹木；木材
attract,v.,引起…興趣，吸引
pursue,v.,繼續從事；追求
revise,v.,改變
score,n.,許多；二十
isolate,v.,分離，隔離；孤立
reduce,v.,還原；減少
unpredictable,adj.,無法預料的
struggle,n.,鬥爭；努力
border,v.,與…接壤；在…邊界上
context,n.,背景(因素)；上下文
