vocabulary,pos,mean
cinema,n.,戲院
circulate,v.,循環，流傳
circulatory,adj.,血液循環的
circumstance,n.,情況
cite,v.,引用…的話
citizen,n.,市民
civil,adj.,文明的
claim,v.；n.,宣稱
clarification,n.,澄清
classify,v.,分類，分級
classical,adj.,古典的，傳統的
clause,n.,條款
cleanse,v.,整頓
clerical,adj.,文書的
clever,adj.,聰明的，靈光的
clientele,n.,主顧
cliff,n.,懸崖
climate,n.,氣候
clockwise,adj.,順時鐘方向的
counterclockwise,adj.,逆時鐘方向的
clue,n.,線索
clumsily,adv.,笨拙地
clutch,v.；n.,緊抓；離合器
coal,n.,煤
coarse,adj.,粗糙的
coastline,n.,海岸線
coat,v.,塗上…一層
coexist,v.,共存
coherent,adj.,一致的，連貫的
coil,v.；n.,纏繞；一圈，一匝
coincide,v.,同時發生
collaborate,v.,合作
collapse,v.,倒塌，瓦解
collide,v.,碰撞，發生衝突
colloquial,adj.,口語的
colonel,n.,上校
colonialism,n.,殖民主義
coma,n.,昏迷狀態
combat,v.,對抗，與…搏鬥
comet,n.,彗星
