vocabulary,pos,mean
comfort,n.,舒適
command,v.；n.,命令，指揮
commence,v.,開始，著手
commend,v.,稱讚，表揚
comment,v.,評論，發表意見
commerce,n.,商業
commission,v.；n.,委託；傭金
committee,n.,委員會
commodity,n.,商品
common,adj.,共有的，普遍的
communicable,adj.,可傳送的，傳染性的
communism,n.,共產主義
community,n.,團體，社區
commute,v.,通勤；減輕(刑罰)
companion,n.,同伴
comparable,adj.,類似的，同類的，相當的
compass,n.,羅盤
compassion,n.,憐憫，同情
compatible,adj.,共存的，相容的
compel,v.,強迫
compensate,v.,補償
compete,v.,競爭
competent,adj.,有能力的
complain,v.,抱怨，埋怨
complainant,n.,原告
complement,n.,填充物
compliant,adj.,順從的
complicate,v.,複雜的
complication,n.,併發症
compliment,v.,讚美
compound,v.；n.,合成；化合物
comprehend,n.,理解
compress,v.,壓縮
comprise,v.,由…組成
compromise,v.；n.,妥協
compulsive,adj.,強迫的，強制的
conceal,v.,隱瞞，隱藏
concede,v.,讓與
conceit,n.,自大，自滿
conceive,v.,構想
