vocabulary,pos,mean
reign,v.,統領，支配
faction,n.,派別
access,n.,接觸機換、權力
accelerate,v.,促進，加速
stump,n.,演講台；殘株
medium,n.,媒介，媒體
immense,adj.,大規模的，巨大的，廣大的
emit,v.,放射出
fusion,n.,融合；混合
influx,n.,湧入；流出
crude,adj.,未提煉的，天然的；粗糙的
intriguing,adj.,吸引人的，使好奇的
slot,n.,播放時段；位置
accompany,v.,伴奏；伴隨；陪同
rusty,adj.,生疏的
daydream,v.,做白日夢
handy,adj.,有用的
bulletin,n.,公告；短訊，快報
preservative,n.,防腐劑
appreciation,n.,欣賞；評論；感激
varsity,n.,代表隊，校隊
renovate,v.,翻修；恢復
appreciate,v.,感謝
assign,v.,分配；指派
overwhelm,v.,使不知所措；淹沒；征服
genre,n.,(繪畫、文學、音樂)類型
breakthrough,n.,突破，大發現
reinforce,v.,使穩固，加強
strudy,adj.,結實的
bibliography,n.,參考書目
sprout,v.,發芽；急速成長
threaten,v.,對…構成威脅，恐嚇
date,v.,鑑定…的年代
interact,v.,與…互動，相互作用
norm,n.,標準，規範
lyric,n.,歌詞；抒情詩
exotic,adj.,外國的；異國情調的；珍奇的
overlook,v.,忽視
immobilize,v.,使固定，使不動
