vocabulary,pos,mean
concentrate,v.；n.,專注於；濃縮物
concept,n,概念
concern,v.；n.,使憂慮；擔憂
concerto,n.,協奏曲
conclude,v.,做結論
concrete,n.,水泥
condemn,v.,譴責
condition,n.,狀況，狀態
conditional,n.,先決條件
conduct,v.,傳導
confer,v.,授予
confess,v.,承認，招供，告解
confidence,n.,自信，機密
confine,v.,使…局限於
confiscate,v.,沒收
conflict,v.；n.,牴觸，矛盾，衝突
confluence,n.,會合處，合流處
conform,v.,遵照，遵守
confront,v.,對質，面對，對抗
congestion,n.,擁擠，擠滿
conjecture,v.；n.,推測，猜測
conjunction,n.,連接詞，聯合
conquer,v.,征服，制霸
conscience,n.,良心，道德意識
conscious,adj.,意識到的
consecutive,adj.,連續的
consensus,n.,共識，輿論
consequence,n.,後果，結果
conservation,n.,保育，保護
considerable,adj.,相當多的
consist,v.,由…組成
consistent,adj.,一致性，一貫的
consolation,n.,安慰
conspiracy,n.,計謀，陰謀
constant,adj.,持續的
constitute,v.,構成，設立
construct,v.,建設，建造
consulate,n.,領事館
consume,v.,消耗，消費
contact,v.；n.,聯絡，接觸
