vocabulary,pos,mean
restive,adj.,不安的，難以控制的
impertinent,adj.,不敬的
artful,adj.,巧妙的，狡猾的
veracious,adj.,真實的
calumny,n.,誹謗
laconic,adj.,簡潔的，寡言的
anamolous,adj.,不規則的，異常的
innocuous,adj.,無害的
mercurial,adj.,易變的
parsimonious,adj.,吝嗇的
venerate,v.,崇敬
involved,adj.,複雜的
venality,n.,賄賂
amenable,adj.,順從的
harangue,n. / v.,長篇大論
ambiguous,adj.,模稜兩可的
undermine,v.,破壞
castigate,v.,嚴厲斥責
ambivalent,adj.,矛盾的
chastise,v.,譴責
gregarious,adj.,愛交際的
intimate,v.,暗示
frugal,adj.,節儉的
profligate,adj.,揮霍的
acrimony,n.,尖酸刻薄
demur,v.,提出異議
wanting,adj.,缺乏的
iconoclast,n.,反傳統者
galvanize,v.,激起
extant,adj.,現存的
betray,v.,背叛
vindicate,v.,澄清
prevaricate,v.,搪塞
auspicious,adj.,吉祥的
qualify,v.,限制
maintain,v.,斷言
amorphous,adj.,不定型的
parochial,adj.,狹隘的
prodigal,adj.,揮霍的
enervate,v.,削弱
aberration,n.,異常現象
disinterested,adj.,公正的
censure,v.,譴責
amalgm,n.,綜合體
commensurate,adj.,相稱的，成比例的
egregious,adj.,極嚴重的，令人震驚的
ingenuous,adj.,天真的
upbraid,v.,訓斥，責罵
belie,v.,掩飾
equivocal,adj.,含糊的
