vocabulary,pos,mean
balance,n.,收支差額，餘額；平衡
compatible,adj.,符合的，一致的
conduct,v.,進行(實驗)，管理
conquer,v.,克服，擊敗
consensus,n.,共識，意見一致，輿論
defer,v.,延遲
formulate,v.,創立(理論)；明確敘述
fry,n.,魚苗
fugitive,adj.,逃亡的
gene,n.,基因
heredity,n.,遺傳
ingrain,v.,(信念)深嵌
inmate,n.,囚犯；被收容者
interactive,adj.,互動式的，相互作用的
jot,v.,匆匆記下
marsupial,n.\adj.,有袋類動物
obscene,adj.,猥褻的，傷風敗俗的
overthrow,v.,推翻(政府)
paddle,v.,滑水
parole,n.,假釋；假釋期；釋放宣言
plague,n.,瘟疫，鼠疫
probation,n.,試用期，見習；緩刑
ration,n.,配給量
reliant,adj.,依賴的
repeal,v.,廢止，撤銷，放棄
sabbatical,n.\adj.,休假日；安息日
scede,v.,脫離(組織)
shoot,n.,芽，嫩枝
soul,n.,人
suffrage,n.,參政權
tip,n.,頂端，尖端
undue,adj.,不適當的；過分的
witness,v.,目擊；作證
wreck,v.,破壞
yield,v.,產出；(節)果
perspective,n.,見解，觀點；遠景，展望
