vocabulary,pos,mean
completely,adv.,完全地，完整地
refuse,v.,拒絕
temporarily,adv.,暫時地
dealer,n.,經銷業者，代理商
bulk,adj.,大量的
inventory,n.,庫存，庫存清單
short,adj.,短缺的
commercial,adj.,商業的，商務的
commercial,n.,廣告
order,v.,訂購
provide,v.,提供
contact,v.,聯絡
contact,n.,聯絡人
invoice,n.,發票，發貨單
move,n.,行動，措施，對策
supply,v.,供應
supply,n.,補給品
discount,n.,折扣
distribute,v.,分發，分配，分銷
acquistion,n.,獲得物，收購
assure,v.,向…保證，使…放心，使…確信
subject,adj.,容易受到…影響；以…為條件的
subject,v.,使…受到
seek,v.,追求，尋找
satisfactory,adv.,令人滿意的
confirmation,n.,確認，證實
unable,adj.,不能(做…)的
payment,n.,支付(的款項)
measure,n.,措施，手段
measure,v.,測量
bargain,n.,特價商品，協議，討價還價
stock,n.,庫存；股票
affordabillit,n.,(價格)可負擔性
clientele,n.,(總體)顧客，委託人
acclaim,n.,喝采，稱讚
represent,v.,代表…
rating,n.,等級，評等
encompass,v.,包含，圍繞
finalize,v.,完成
retail,n.,零售
commodity,n.,商品(原物料，大宗產品)
quote,n.,報價
consignment,n.,委託(販賣)
