vocabulary,pos,mean
lax,adj.,(行動等)鬆懈的，散漫的
procrastinate,v.,拖延
combined,adj.,聯合的，結合的
accomplish,v.,達成
voluntarily,adv.,自願地，自動自發地
undertake,v.,從事，承擔(工作)
assume,v.,假定，以為；承擔(責任、角色)
occasionally,adv.,偶爾
employee,n.,員工，受雇者
assist,n.,協助，援助
satisfied,adj.,感到滿意的，滿足的
manner,n.,方式；態度
responsible,adj.,應該...負責，承擔責任的
conduct,v.,進行(任務等)
adjust,v.,調整，適應
personnel,n.,(總稱)員工，人員；人事部門
agree,v.,同意
supervise,v.,監督，指導
coworker,n.,同事，共同工作者
direct,v.,引導，指揮，指導
confidential,adj.,機密的，祕密的
assign,v.,分配，指派
leading,adj.,領導的，領先的，主要的
formal,adj.,正式的
remove,v.,去除，把…免職
collect,v.,收集，收取
coordinate,v.,協調
hardly,adv.,幾乎不…
abstract,adj.,抽象的
directory,n.,通訊錄；工商名錄；電話簿
accountable,adj.,應負責任的
skillfully,adv.,巧妙地，熟練地
exclusive,adj.,獨有的，排外的
intention,n.,意圖，意向，意願
transform,v.,改變，轉變
respectful,adj.,尊重的，尊敬的
duplicate,n.,副本
contrary,n.,相反(的情況)
disturbing,adj.,令人不安的，令人焦慮的，煩擾人的
engage,v.,(使)參加，(使)從事
foster,v.,促進，培養
neutrality,n.,中立性，中立
widely,adv.,廣泛地
