vocabulary,pos,mean
abandon,v.,放棄，遺棄
radius,n.,半徑；範圍
auction,n.,拍賣會
retail,n.；v.,零售
differentiate,v.,使有區別，區別…的不同
cater,v.,迎合
persist,v.,持續存在；執意
rate,n.,比率；費用；速度
collect,v.,蒐集，收集
artificial,adj.,人工的；矯柔造作的
fatal,adj.,致命的
secure,adj.,安全的
particle,n.,微粒，粒子
clue,n.,線索
evidence,v.,證明，作為…的證據
frontier,n.,邊界，邊境
coincide,v.,同時發生
extracurricular,adj.,課外的
suit,v.,滿足…的需要；適合
definition,n.,定義
fellowship,n.,研究生獎學金
stack,n.,大量的，堆積如山
flu,n.,流行性感冒
envolve,n.,進化；使逐漸發展
acute,adj.,敏銳的；尖銳的
acquire,v.,獲得；習得；養成
invisible,adj.,看不見的
pottery,n.,陶器
functional,adj.,實用的；有特殊作用的
plain,adj.,普遍的，平凡的
summarize,v.,總結，簡明扼要的說
marked,adj.,顯著的
sin,n.,原罪
widow,n.,寡婦
fossil,n.,化石
specifically,adv.,具體的；確切的
diameter,n.,直徑
