vocabulary,pos,mean
inventory,n.,存貨清單，詳細目錄
embrace,v.,欣然接受，擁抱
synchronization,n.,同步，時間上一致
knack,n.,本事，技巧，訣竅
mint,v.,鑄造
drag,v.,拖曳
conical,adj.,圓錐形
pulmonary,adj.,肺病的；肺部的
stethoscope,n.,聽診器
ripple,n.,漣漪，波紋
vulnerable,adj.,脆弱的，易受傷害的
dose,n.,劑量，用量
sport,n.,消遣，娛樂
obsolete,adj.,過時的
famish,v.,飢餓
verify,v.,查證
outcome,n.,結果
collide,v.,相撞，碰撞
vicinity,n.,附近
satire,n.,諷刺
proprietary,adj.,特許的，專利的，私人擁有的
swat,v.,打(蒼蠅)，猛擊(蟲)
blur,v.,使模糊
articulate,adj.,能表達清楚的
notoriety,n.,聲名狼藉
blackout,n.,停電；封鎖消息
reunion,n.,重聚
audition,v./n.,試演，試唱
hassle,n.,麻煩事；激烈爭論
remedy,v.,治療；補救
devour,v.,貪婪地吃
hinder,v.,障礙，阻止
withstand,v.,經得起，承受
prairie,n.,大草原
unprecedent,adj.,空前的，史無前例的
outrageous,adj.,駭人聽聞的，無法無天的
ethical,adj.,道德上的
wean,v.,使斷奶
