vocabulary,pos,mean
purchase,v.,購買(的動作)
purchase,n.,購買(的東西)
installment,n.,分期付款
affordable,adj.,(價格)負擔得起的
exactly,adv.,確切地，正好
aution,n.,拍賣
authentic,adj.,真正的，正統的
charge,n.,收費，費用；責任
charge,v.,索取(費用)、把…記在帳上
notice,n.,通知，公告
experienced,adj.,有經驗的，熟練的
instruction,n.,說明，指示
expert,n.,專家
expert,adj.,專門的，專業的
warranty,n.,保證，保證書
refund,n.,退款
subscriber,n.,訂閱者，用戶
delivery,n.,運送
price,n.,價格
receipt,n.,收據
offer,v.,提供
offer,n.,提議，優惠
carefully,adv.,小心謹慎地，仔細地
benefit,n.,利益，好處
benefit,v.,受益，受惠
exclusively,adv.,獨佔地，排外地
discription,n.,(產品等的)說明，描述
relatively,adv.,相對地
spare,v.,節省，吝惜
spare,adj.,備用的，剩下的
preparation,n.,準備
area,n.,地區，區域
clearance,n.,清除，清倉；准許
alter,v.,改變(性質、形象)，修改(衣服)
apply,v.,適用，應用；申請
mutually,adv.,互相，彼此
method,n.,方法，方式
acceptable,adj.,可接受的，還可以的
desire,n.,渴望，慾望
desire,v.,渴望，想要
redeemable,adj.,可兌換(現金、商品)的，可償還的
offically,adv.,正式地
consumption,n.,消費(量)，消耗
quality,v.,使…有資格
fabric,n.,布料
valid,adj.,有效的
vendor,n.,小販，攤販；販賣業者
