vocabulary,pos,mean
agenda,n.,議程，待議事項
convene,v.,聚集，集會，召開(會議)
refute,v.,反駁，駁斥
coordination,n.,協調
unanimous,adj.,意見一致，一致同意的
convince,v.,說服，使確信
consensus,n.,輿論，一致的意見
defer,v.,延後，延期
reschedule,v.,重新安排…的時間
determine,v.,查明，判定；決定
report,v.,報告；(職場、會議)報到
report,n.,報告書；報導
comment,v.,評論，發表意見
phase,n.,階段
approve,v.,批准，贊成
enclosed,adj.,被附上的
record,n.,紀錄；履歷，經歷
suggestion,n.,建議，提議
attention,n.,注意，專心
object,v.,反對
coincidentally,adv.,巧合地，碰巧地
crowded,adj.,擁擠的
undergo,v.,經歷，承受，接受
outcome,n.,結果
narrowly,adv.,狹窄地，嚴密地；勉強，好不容易
differ,v.,不同
discuss,v.,討論
give,v.,發表(演講)，講授(課程)
brief,v.,向…簡短說明，簡短地報告
distract,v.,使分心，使分散(注意力)
emphasis,n.,強調，重點
press,n.,報刊，新聞媒體
press,v.,按，壓
organize,v.,組織，安排，整理
mention,v.,提到
persuasive,adj.,有說服力的
understanding,adj.,理解的，諒解的
adjourn,v.,使休會
constructive,adj.,建設性的
preside,v.,主持(會議)，擔任會議主席
irrelevant,adj.,無關的，不相關的
constraint,n.,限制
