vocabulary,pos,mean
congestion,n.,堵塞，擁擠
alleviate,v.,緩和，減輕
divert,v.,使轉向，使改道
detour,n.,繞道，繞行的路
fuel,n.,燃料
malfunction,n.,故障，機能失常
permit,v.,許可，允許
permit,n.,許可證
transportation,n.,運輸，運輸工具
opportunity,n.,機會
clearly,adv.,清楚地，顯然
ongoing,adj.,持續進行中
detailed,adj.,詳細的
alternative,n.,替代方案
alternative,adj.,替代的
obtain,v.,得到，獲得
designated,adj.,指定的
intersection,n.,交叉路口
equip,v.,使配備，使具備
commute,v.,通勤
downtown,adv.,在市中心
automotive,adj.,汽車的
closure,n.,關閉
vehicle,n.,車輛，運載工具
platform,n.,月台
official,n.,公務員，官員
official,adj.,官方的，正式的
transit,n.,運輸，運送
fare,n.,交通票價
expense,n.,費用，支出
trust,n./v.,信任，信賴
head,v.,(朝著…)出發，前進
drive,v.,開車，駕駛
fine,n.,罰金
securely,adv.,(繩結)牢固地，穩固地
prominently,adv.,顯著地，顯眼地
reserved,adj.,預約的，預定的；留作專用的
collision,n.,碰撞
tow,v.,拖吊(汽車)
reverse,adj.,相反的，背面的
obstruct,v.,遮擋(視線)；阻塞(道路)
