vocabulary,pos,mean
autobiography,n.,自傳
auxiliary,n.,輔助人員
avail,v.,利用
avenue,n.,大道；途徑
avian,adj.,鳥類的
avocation,n.,業餘愛好
avoid,v.,避免
await,v.,等待，期待
awaken,v.,喚醒，醒來
award,v.,頒獎
aware,adj.,有意識到的
awe,v.,對…充滿敬畏
awful,adj.,可怕的
awkard,adj.,笨拙的
bacteria,n.,細菌
bald,adj.,禿頭的
bankruptcy,n.,破產
banquet,n.,盛宴
barbarian,n.,野蠻人
barely,adv.,幾乎不
barometer,n.,氣壓計
baroque,adj.,巴洛克風的；精雕細琢的
barren,adj.,貧脊的
basalt,n.,玄武岩
debase,v.,貶低
battered,adj.,破舊的
beak,n.,鳥喙
unbearable,adj.,難以忍受的
beastly,adj.,令人不愉快的
beckon,v.,招喚；向…示意
beforehand,adv.,預先；事先
bend,v.,使…彎曲
benefactor,n.,捐助者
benevolence,n.,善心，善舉
besiege,v.,圍攻
betray,v.,背叛
traitor,n.,背叛者
bid,v.,出價
bilingual,adj.,雙語的
bind,v.；n.,捆；窘境
