vocabulary,pos,mean
sewerage,n.,汙水排放系統
consort,v.,與…來往，結交；一致
engraving,n.,版畫，雕刻
credence,n.,信用，信任
congenial,adj.,協調的；適合的
edifice,n.,大型建築物
deference,n.,順從；敬意
exponential,adj.,指數的；冪數的
crippling,adj.,造成嚴重損害的
optimal,adj.,最理想的，最佳的
pertinent,adj.,恰當的；相關的
afflict,v.,使…苦惱或騰共
culture,n.,培養
clump,n.,一團，一叢
figural,adj.,人物或動物的
sobriquet,n.,綽號
fidelity,n.,忠誠，忠實
disseminate,v.,傳播(資訊)
discourse,n.,演講
abbreviate,v.,縮短，省略
pseudo,adj.,假的，冒充的
excite,v.,激發，刺激
flare,n.,搖曳的火焰，閃光
feed,v.,(組織)變大；增長(憤怒)
urbanization,n.,都市化
girder,n.,主梁、大樑
morphology,n.,形態學
cardiac,adj.,心臟的
vessel,n.,血管；容器；船
decipher,v.,辨讀；破解
mentor,n.,顧問；導師
cramped,adj.,狹小的，幾成一團的
gait,n.,步伐
typify,v.,代表，象徵
legislation,n.,立法
galvanize,v.,電鍍，鍍鋅；通電
barb,n.,倒鉤
