vocabulary,pos,mean
investment,n.,投資，投資額
lucrative,adj.,有利可圖的，賺錢的
inherently,adv.,本質上
secure,v.,確保，獲得；使安全；使牢固
foreseeable,adj.,可預見的
innate,adj.,天生的
property,n.,財產，房地產
on behalf of,phr.,代表…
lease,n.,租賃，租約
propose,v.,提議
support,n./v.,支持，支援；供養，維持
distribution,n.,分發，分配
consider,v.,考慮
nearly,adv.,幾乎，將近
consent,n.,同意，贊同
gratitude,n.,感謝，謝意
consult,v.,商量，諮詢
advice,n.,勸告，建議
partially,adv.,部分地，一部份
evident,adv.,明顯的
reliability,n.,可靠性，可信賴性
cautious,adj.,小心的，謹慎的
insight,n.,深刻見解，洞察力
portfolio,n.,作品集，投資組合
speculation,n.,推測，猜測
solely,adv.,單獨地，僅僅
entrepreneur,n.,企業家
eventually,adv.,最終，最後
shareholder,n.,股東
outlook,n.,展望，前景
stability,n.,債券
depriciation,n.,貶值
increasing,adj.,增加中的
prevalent,adj.,流行的，普通的
rapid,adj.,迅速的，快速的
unprecedented,adj.,前所未有的，空前的
yield,v.,產生(利潤)
