vocabulary,pos,mean
check in,phr.,辦理入住、報到手續
compensate,v.,補償
complimentary,adj.,免費贈送
container,n.,容器，貨櫃
elegant,adj.,優雅的，高雅的
flavor,n.,味道，風味
accommodate,v.,容納…，供…住宿；迎合(條件)
available,adj.,可利用的；(人)有空的
reception,n.,接待，歡迎會；櫃台
in advance,phr.,事先，預先
refreshment,n.,茶點，輕便的飲食
cater,v.,供應飲食，承辦外燴
reservation,n.,預約，預定；保護區
beverage,n.,飲料
confirm,v.,確認
rate,n.,費用
conveniently,adv.,便利地
decorate,v.,裝飾，裝潢
retain,v.,保持，保留
atmosphere,n.,氣氛，氛圍
cuisine,n.,料理
sequence,n.,順序，次序
extensive,adj.,廣泛的，廣闊的
prior,adj.,在前的，在先的
book,v.,預約
amenity,n.,便利設施
belonging,n.,攜帶物品
entirely,adv.,完全地
ease,v.,減輕，緩和
ease,n.,容易，輕鬆自在
ingredient,n.,材料，成分
sip,v.,啜飲
stir,v.,攪拌
complication,n.,複雜的問題
freshness,n.,新鮮
occupancy,n.,入住率
,,
,,
,,
