vocabulary,pos,mean
abbreviate,v.,縮減
abdicate,v.,放棄(權力)；退位
abhor,v.,厭惡；憎惡
abide,v.,遵守；容忍
aboard,adv.；prep.,上船(載具)；在船(載具)上
abolish,v.,廢除
aboriginal,n.；adj.,原住民；土著的
abort,v.,流產，墮胎；中止
abound,v.,大量存在
about,adj.,即將要的
above,adj；adv.；prep.,上述的；超過；在…上方
abreast,adv.,並肩；並排
abroad,adv.,在國外
abrupt,adj.,突然的；魯莽的
absence,n.,缺席
absolute,adj.,絕對的
absorb,v.,吸收
abstract,v.；n.；adj.,摘錄；摘要；抽象的
absurd,adj.,不合理的；荒謬的
abuse,v.；n.,虐待；濫用
academia,n.,學術界；學術
accelerate,v.,促進；加速
accent,v.；n.,強調；腔調
accident,n.,意外；交通事故
accommodate,v.,能容納；提供住宿
accompany,v.,伴隨；隨同；伴奏
accomplish,v.,成就；完成
accord,v.；n.,一致，符合；協議
account,v.,解釋
accumulate,v.,累積
accuracy,n.,精準度
accusation,n.,指控；控告
accustom,v.,適應；習慣於…
ace,n.；adj.,王牌；一流的
achieve,v.,達成；完成
acid,n.；adj.,酸；酸性的
acknowledge,v.,承認；表示感謝
acne,n.,粉刺
acquaint,v.,熟悉
acquire,v.,習得；獲得
acre,n.,英畝
actual,adj.,真實的；實際的
acute,adj.,急性的；嚴重的
adapt,v.,適應；改造；改編
addict,v.；n.,沉迷；上癮者
address,v.；n.,對…演講；地址，演說
adequate,adj.,適當的
adjoin,adj.,相鄰的
adjust,v.,調整
