vocabulary,pos,mean
misleading,adj.,易引起誤解的
rotation,n.,(農作物的)輪作
strategy,n.,策略，戰略
stable,adj.,穩定的
encounter,n.,遭遇；邂逅
collision,n.,碰撞，衝突
convert,v.,改變(形式、用途等)
abundant,adj.,豐富的，充足的
supplement,v.,補充，增補
vital,adj.,極重要的
resemble,v.,相似，像
motif,n.,(文學)主題，(音樂)樂旨
sophisticated,adj.,複雜的；精緻的
apparently,adv.,顯然地
provided,conj.,如果，在…的情況下
flock,n.,群
capital,n.,資金，資本
anticipate,v.,期望，預期
suburb,n.,(城鎮的)郊區
upset,v.,打亂；顛覆
influential,adj.,有影響力的
aptitude,n.,天分，才能
immigrant,n.,移民
segment,n.,區塊，部分
metropolitan,adj.,大都市的，主要都市的
amenity,n.,設施
invertebrate,n.,無脊椎動物
propose,v.,提議
scent,n.,氣味，香氣
ingredient,n.,原料，成分
