vocabulary,pos,mean
enclosure,n.,圈地；圍牆；包圍
asymmetrical,adj.,不對稱的，不均勻的
flick,n.,快而突然的動作
pupa,n.,蛹
metamorphosis,n.,變態，變形
blast,v.,發出刺耳聲
squeamish,adj.,神經質的，易受驚的
rugged,adj.,崎嶇多岩的
diverse,adj.,多樣性的
airborne,adj.,空氣傳播的，空運的
engulf,v.,吞噬，捲入
encroach,v.,侵略，侵蝕
topography,n.,地形(學)，地勢
align,v.,使排成一直線
venomous,adj.,有毒的
hiss,v.,發出嘶嘶聲
corpse,n.,屍體
feign,v.,假裝
tripod,n.,三腳架
avert,v.,移開；避免(不幸)
transition,n.,轉變，變遷，過渡
signature,n.,特徵，標識，痕跡
terrain,n.,地形，地勢
aggregate,n.,集合體；統計
coercive,adj.,強制的，強迫的
recipient,n.,接收者
advent,n.,出現，來臨，開始
conduct,v.,傳導(電、熱)；引導；指揮
adjunct,n.,附屬品，附加物
equivocal,adj.,不確定的；歧異的
implement,n.,工具
pound,v.,猛烈敲打，撞擊
conducive,adj.,有助益的，促成的
convection,n.,對流；傳達
toxin,n.,毒素，有毒物質
catalytic,adj.,觸媒的，起催化作用的
eerie,adj.,詭異的，恐怖的
quantum,n.,量子
