vocabulary,pos,mean
sanction,v.,制裁
pernicious,adj.,有害的，惡劣的
antithetical,adj.,對立的
audacity,n.,大膽
taciturn,adj.,沉默寡言的
arcane,adj.,神秘的，晦澀難懂的
repudiate,v.,拒絕，否認
lionize,v.,崇拜
brazen,adj.,毫不隱瞞的，明目張膽的
sporadic,adj.,偶爾發生的，斷斷續續的，零星的
accolade,n.,稱讚，讚美；榮譽
scrupulous,adj.,嚴格的，嚴謹的；胸懷坦蕩的
precipitous,adj.,陡峭的；倉促的
tractable,adj.,易處理的，易控制的
rescind,v.,廢除，撤銷
inscrutable,adj.,難以捉摸的
sycophant,n.,阿諛奉承的人，馬屁精
tempered,adj.,受到限制的，被控制的
obsequious,adj.,巴結的，諂媚的
inimical,adj.,有害的；不利的；有限制性的
foment,v.,挑起，煽動
dilettante,n.,一知半解者，半吊子；業餘愛好者
propitious,adj.,吉祥的，吉利的
circumscribe,v.,限制，抑制
austere,adj.,艱苦的，樸素的；不加修飾的；嚴厲的
myriad,n.,無數，極大量
pedestrian,adj.,乏味的，缺乏想像力的
prodigious,adj.,強大的，巨大的
hegemony,n.,霸權，支配權，領導權
arbitrary,adj.,任意的，隨意的
prolific,adj.,作品豐富的，多產的
ostracize,v.,避開，排斥
inveterate,adj.,積習難改的，難以自拔的，習慣性的
trite,adj.,陳腐的，老套的
munificent,adj.,慷慨的，大方的
haphazard,adj.,無計畫的，隨意的
intrepid,adj.,無畏的
poignant,adj.,令人痛苦的，酸處的
vacillate,v.,猶豫，搖擺不定
subversive,adj.,有顛覆性的
admonish,v.,告誡，警告
ravenous,adj.,極其飢餓的
gauche,adj.,笨拙的，不擅社交的，不老練的
resurgent,adj.,復興的
winsome,adj.,天真可愛的，討人喜歡的
reverent,adj.,肅然起敬的
constituent,n.,選民，選舉人；成分，要素
garrulous,adj.,喋喋不休的
insolent,adj.,傲慢無理的
irrevocable,adj.,不可改變的
