vocabulary,pos,mean
equipment,n.,設備，裝備
automate,v.,自動化
specification,n.,明細單，說明書，規格
properly,adv.,適當地，正確地
safety,n.,安全
precaution,n.,預防措施
operate,v.,(機械等)運作，操作
processing,n.,加工，處理
capacity,n.,能力；容量，容納量；職位
assemble,v.,組裝(零件、機械等)；召集(人)
utilize,v.,利用
place,v.,使…處於某種狀態，下(指示、訂單、申請)
fill,v.,裝滿…；滿足訂單的訂購要求
manufacturing,adj.,製造(業)的
renovate,adj.,翻新，翻修(舊建築、舊家具等)
decision,n.,決定
material,n.,材料，料子
success,n.,成功，成就
attribute,v.,把…歸因於(原因)
efficiency,n.,效率，效能
limit,n.,限制，界限
tailored,adj.,量身訂做的，依要求訂做的
component,n.,零件，構成要素
capable,adj.,有能力(做…)的
economize,v.,節約，節省
flexible,adj.,柔軟的，有彈性的，可變通的
comparable,adj.,可比較的，比得上的
produce,v.,生產
respectively,adv.,分別，各自
device,n.,裝置
trim,v.,修剪，削減，除去
launch,v.,使(新產品)上市
separately,adv.,分別地，個別地
expiration,n.,(期間的)到期，期滿
maneuver,v.,調動
coming,adj.,即將到來的
damaged,adj.,受損的
prevent,v.,預防…，防止…
power,n.,力量，電力
chemical,n.,化學製品，化學藥品
