vocabulary,pos,mean
structure,n.,建築物
burial,n.,葬禮，埋葬
concern,v.,關心；涉及到
promote,v.,鼓勵，提倡，促進
chart,n.,圖表；航海圖
prophetic,adj.,預言的，預告的
loosen,v.,鬆開，解開
trap,v.,留於
poisonous,adj.,有毒的
tropical,adj.,充足的；寬敞的
nutrient,n.,養分，營養物
universally,adv.,普遍地
represent,v.,代表，象徵
gear,n.,齒輪
vehicle,n.,媒介，傳達手段；車輛
contribution,n.,捐款；貢獻
molecule,n.,分子；微量
mammal,n.,哺乳動物
prior,adj.,先前的，優先的
domestic,adj.,國內的；家庭的
severe,adj.,劇烈的；嚴格的；艱難的
magnitude,n.,規模，大量；重要性
solar,adj.,太陽的
beneficial,adj.,有益的，有幫助的
generalization,n.,概括化，通則
multiplication,n.,乘法
enthusiastic,adj.,熱忱的
