vocabulary,pos,mean
well-rounded,adj.,全方面的，面面俱到的
prerequiste,n.,前提，先決條件
tow,v.,拖，拉
humanity,n.,人文科學
aspiring,adj.,胸懷大志的
breed,n.,品種，種類
school,n.,(藝術、學問)派別
debris,n.,碎片，瓦礫
meteor,n.,流星
streak,n.,線條；一段時間
still,adj.,靜止的
urine,n.,尿液
condensation,n.,凝結，冷凝，濃縮
charter,n.,特許狀，許可狀，特權
packed,adj.,擠滿…的，充滿…的
parasite,n.,寄生的動植物
campaign,n.,軍事行動；競選活動
encompass,v.,包含；圍繞
game,n.,獵物，野獸或野禽的肉
exploit,v.,開發，利用；剝削
teem,v.,大量，充滿
counterpart,n.,相對應的人或物
density,n.,密度；濃度
sprawl,v.,散亂延伸
impact,n.,影響；撞擊；衝突
broaden,v.,擴大，擴展
coin,v.,創造(新詞)
specific,adj.,特定的；具體的
dune,n.,沙丘
mitigate,v.,減輕(憤怒、痛苦)
substantially,adv.,相當，十分地；實質上
sparse,adj.,稀疏的
repertoire,n.,絕活
