vocabulary,pos,mean
application,n.,申請(書)
donation,n.,捐款；捐贈
procedure,n.,程序；手續
silly,adj.,愚蠢的
mess,v.,將…弄亂
fill,v.,填滿，裝滿
credit,n.,學分
figure,v.,理解
sophomore,n.,二年級生
heart,n.,熱忱
pastime,n.,娛樂，消遣
reptile,n.,爬蟲類
cling,v.,附著，黏著；堅持
opposite,adj.,相反的；對面的
routine,adj.,例行的；一般的
moderate,adj.,中等的；適度的
vegetation,n.,植被，植物
inhabitant,n.,居民
estimate,v.,估計
rule,n.,習慣；慣用作法
transportaion,n.,交通運輸(工具)
era,n.,年代
predator,n.,食肉動物，掠食者
pretend,v.,假裝
subtle,adj.,敏銳的；精細的
predominantly,adv.,主要地
engage,v.,從事
boast,v.,自吹自擂
urgent,adj.,緊急的，迫切的
