vocabulary,pos,mean
international,adj. ,國際的
attraction,n.,景點
itinerary,n.,旅行行程
exotic,adj. ,異國情調的，奇特的
diverse,adj. ,多樣的
superb,adj. ,極好的，一流的
baggage,n.,行李
destination,n.,目的地
missing,adj. ,遺失的，缺少的
locate,v,找到…的位置；使…座落於
approxiamtely,adv.,大概
duty,n.,稅，關稅；責任，職責
process,n.,過程
process,v.,處理
board,v.,上，登上(大眾運輸工具)
board,n.,委員會，董事會
comfortable,adj. ,舒適的
declare,v.,(在海關)申報；宣告
specify,v.,具體說明
depart,v.,出發
emergency,n.,緊急狀況
passenger,n.,常客
outgoing,adj. ,(從場所)出發的，離開的；即將離開的
tightly,adv.,緊緊地，牢固地
tour,n.,(工廠、設施等的)導覽，旅行
carrier,n.,運輸公司，航空公司；運輸工具
costomarily,adv.,習慣上，習俗上
confuse,v.,使困惑
arrive,v.,到達
brochure,n.,(宣傳用的)摺頁，小冊子
involve,v.,需要…，包含…；使…涉入
ship,v.,運送
suitcase,n.,行李箱
unavailable,adj. ,無法利用的，無法取得的
fill out/in,phr.,填寫，填好(表格)
customs,n.,海關
away,adv.,離開，逃離
dramatic,adj. ,戲劇性的，激勵人心的；急劇的
hospitality,n.,款待，殷勤招待
indulge,v.,沉迷，享樂
proximity,n.,接近，鄰近
seating,n.,(整體的)座位安排；座位數
unlimited,adj. ,無限制的
