vocabulary,pos,mean
sustain,v.,(聲音)持續；支撐；忍受
myraid,adj.,無數的
prodigious,adj.,(數量或程度大的)驚人的
verse,n.,詩，韻文
access,v.,估計；評價；課
riot,n.,暴動
akin,adj.,類似的，有血緣關係的
peculiarity,n.,古怪之處；特性
bizarre,adj.,古怪的，異乎尋常的
subsist,v.,存活
metabolic,adj.,代謝作用的，新陳代謝的
faculty,n.,能力；全體教職員
spectacular,adj.,與眾不同的；壯觀的
cast,v.,蛻皮
regenerate,v.,再生
pollute,v.,汙染
homogenous,adj.,同質的，均值的
paramount,adj.,最高的；卓越的
renounce,v.,拋棄；否認；與…斷絕關係
pronounce,adj.,清楚明白的，明顯的；發出聲音的
secular,adj.,世俗的；非宗教的
equivalent,n./adj.,相等物(的)
dissipate,v.,消散
devastate,v.,摧毀
compile,v.,彙整並編輯
prospect,n.,可能性，展望，希望，前途
manufacturing,n.,製造業，工業
makeup,n.,組成，構成
ethnic,adj.,種族的，人種的；民族特有的
mobility,n.,流動性，機動性
orderly,adj.,有秩序的，整齊的
distinction,n.,差異，區別；特徵
dizzying,adj.,使暈眩的
pollination,n.,授粉(作用)
distort,v.,扭曲，使變形
strip,n.,狹長的土地；(布)細長片
