vocabulary,pos,mean
disaffected,adj.,失望的，不滿的
languid,adj.,慵懶的，悠閒自在的
supplant,v.,取代
magnanimous,adj.,寬宏大量的
ascetic,adj；n.,清心寡慾的；苦行僧
derivative,adj.,模仿的
travesty,n.,戲謔，嘲弄
delineate,v.,描述
forlorn,adj.,孤苦伶仃的
contrive,v.,策劃
abstain,v.,戒斷
quotidian,adj.,日常的，普通的
eclectic,adj.,相容並蓄的，不拘一格的
guileless,adj.,老實的
jubilant,adj.,歡欣的
tenacious,adj.,固執的
mollify,v.,撫慰
unequivocal,adj.,表達明確的
treacherous,adj.,奸詐的，極端危險的
juxtapose,v.,把…並列
panache,n.,氣勢磅礡
elucidate,v.,闡明，解釋
derive,v.,從…中獲得
staunch,adj.,忠實的，堅定的
apathy,n.,冷漠態度
eminent,adj.,卓越的
negligible,adj.,微不足道的
frustrate,v.,阻止，阻礙
vilify,v.,詆毀，汙衊
rudimentary,adj.,基本的，初步的
ephemeral,adj.,短暫的
immutable,adj.,不可改變的
fallacious,adj.,錯誤的
vehement,adj.,強烈的，猛烈的
ameliorate,v.,改善
spurious,adj.,虛假的，欺騙的
subsume,v.,把…納入，囊括，歸入
heretic,n.,異教徒，異端分子
circumvent,v.,逃避，繞過
precocious,adj.,早熟的
belligerent,adj.,好戰的
tantamount,adj.,相當於
avaricious,adj.,貪婪的
haughty,adj.,傲慢的
insidious,adj.,陰險的
jingoism,n.,沙文主義
refractory,adj.,不聽從的
incongruous,adj.,不一致的
denote,v.,表示
itinerant,adj.,四處奔波的，巡迴的
