vocabulary,pos,mean
assimilate,v.,吸收；同化；消化
medicore,adj.,平庸的，二流的
brittle,adj.,硬而易碎的
coalesce,v.,結合；癒合
transcend,v.,超越，勝過
emancipation,n.,解放
detterent,n.,威攝物
piety,n.,虔誠；孝順
regime,n.,政權，政府，政治制度
aboriginal,adj.,原住民的；原生的
confiscate,v.,沒收
exclusively,adv.,獨佔地，排外地；專門地
seismic,adj.,地震的
alien,adj.,陌生的；性質不同的
speculate,v.,推測
alternative,n.,替代方案
financial,adj.,財政上的，金融上的
barren,adj.,貧瘠的
immune,adj.,不受…影響，免疫的
originally,adv.,最初；獨創地
undertake,v.,承擔；著手從事；答應
predecessor,n.,原有事務；前輩，前身
trample,v.,踐踏
grazing,n.,牧場，放牧，牧草
drought,n.,乾旱
plaster,n.,灰泥
trail,v.,追蹤
shed,v.,脫落；流出；散發
disperse,v.,消散
adjacent,adj.,鄰近的
receptor,n.,感覺器官，感應器
turnpike,n.,收費高速公路
annihilate,v.,完全摧毀，殲滅
integral,adj.,不可或缺的
accommondation,n.,住宿設施；適應
acqusition,n.,習得，獲得
avid,adj.,熱心的；渴望的
