vocabulary,pos,mean
reliance,n.,依賴
craft,v.,精心製作
phenomenon,n.,現象
satellite,n.,人造衛星
picture,v.,想像
charge,v.,帶電；充電
barrier,n.,阻礙，障礙
bunch,v.,捆成束
nitrogen,n.,氮
glow,v.,發光，發熱
physicist,n.,物理學家
urban,adj.,都市的，都會的
stimulate,v.,促使
concentration,n.,密集，集中
vertebrate,n.,脊椎動物
refer,v.,涉及
registration,n.,註冊
miserable,adj.,悲慘的
tutor,v.,個別指導
due,adj.,到期的，約定的
oversleep,v.,睡過頭
jam,v.,機器(因卡住)故障
comference,n.,會議
mistaken,adj.,誤解的
straight,adj.,連續不斷的
participate,v.,參加
save,v.,留著
rent,n.,租金
desperate,adj.,嚴重的
endure,v.,忍耐
disappoint,v.,感到失望
exhibition,n.,展覽會
public,n.,民眾，公眾
