vocabulary,pos,mean
economical,adj.,經濟的；節約的
transient,adj.,短暫的；暫時的
craven,adj.,懦弱的
ignominious,adj.,恥辱的
askance,adv.,斜眼看地
nuance,n.,細微差別
misconstrue,v.,誤解…的意思
reproach,v.,責備，責怪
harried,adj.,不勝其煩的，煩惱的
truncate,v.,縮短，截短
furtive,adj.,偷偷摸摸的
indecorous,adj.,不雅的；粗魯的
pejorative,adj.,貶抑的，貶損的
dispassionate,adj.,冷靜的
duress,n.,威脅，脅迫
jovial,adj.,愉快的，高興的
dilatory,adj.,拖延的
erudite,adj.,博學的
antipathy,n.,憎惡，厭惡
anomaly,n.,異常的人(事、物)
stringent,adj.,嚴格的，苛刻的
appease,v.,平息，安撫
flux,n.,不斷變化
capricious,adj.,反覆無常的
opulence,n.,富裕
edifying,adj.,啟迪的
timorous,adj.,膽小的，羞怯的
arduous,adj.,艱難的
banality,n.,平庸
posit,v.,假想，假設
esoteric,adj.,(限內行)才懂得，限於小圈子的
mundane,adj.,世俗的，平庸的
impartial,adj.,公正的
polemic,n.,辯論文章
elicit,v.,引起
mendacity,n.,撒謊習慣
placate,v.,平息，安撫
sullen,adj.,悶悶不樂的
imprudent,adj.,不明智的
