vocabulary,pos,mean
decline,n.,減少，下降
decline,v.,拒絕(邀請、申請)
markedly,adv.,顯著地，申請地
increase,n.,增長
increase,v.,增加、增強
revenue,n.,收入
projection,n.,預測值
substantial,adj.,相當大的，相當多的
anticipate,v.,預期，期望
significantly,adv.,顯著地
estimate,v.,估計，估價
estimate,n.,估計值
shift,v.,轉移，挪動
shift,n.,轉變；輪班工作時間
production,n.,生產，產量
sale,n.,銷售額，銷售量；降價特賣
impressive,adj.,令人印象深刻的
representative,n.,代表，專員
recent,adj.,最近的
exceed,v.,超過…
improvement,n.,改善
employer,n.,雇主
regular,adj.,定期的；慣常的
summarize,v.,總結，概述
typically,adv.,典型地，通常
whole,adj.,全部地，整個地
growth,n.,成長地，發展
figure,n.,數字
steady,adj.,穩定的；堅定的
frequent,adj.,頻繁的，常發生的
achieve,v.,達成，成就
assumtion,n.,假定，假設
share,n.,一份，股份
encouraging,adj.,鼓勵的，令人振奮的
incur,v.,遭受(損失)，招致(債務)
slightly,adv.,稍微
profit,n.,收益，利潤
reliant,adj.,依賴的，依靠的
illustrate,v.,說明，圖解
inaccurate,adj.,不正確的
percentage,n.,百分比，比例
reduce,v.,減少，縮減
tend,v.,傾向於…，容易…
