vocabulary,pos,mean
proposal,n.,提案，提議
alliance,n.,同盟，聯盟
stipulation,n.,契約規定，契約條款
term,n.,條款；任期，期限
compromise,n.,妥協，折衷辦法
negotiation,n.,談判，協商
agreement,n.,意見一致，同意；協議
deadlock,n.,僵局
review ,v.,再檢查，審查
contract,n.,合約(書)
contract,v.,簽約；收縮
signature,n.,簽名
orginally,adv.,原來，起初
direction,n.,方向，指示，指揮
initially,adv.,起初
expire,v.,(合約等)期滿
collaborate,v.,合作
dedicate,v.,使(自己)致力於某事，奉獻，獻出(時間、精力)
revise,adj.,修改過的，修訂過的
imperative,adj.,必須履行的，必要的
cooperatively,adv.,合作地，配合地
commission,n.,佣金，手續費；委員會
omit,v.,遺漏，省略
conflict,n.,衝突，意見不一致
renew,v.,更新(合約等)
proficient,adj.,熟練的，精通的
confidentiality,n.,機密
dispute,n.,爭論，爭執
objection,n.,反對，異議
define,v.,定義，界定
impression,n.,印象
security,n.,安全，保全，防護
option,n.,選擇，選擇權
proceed,v.,進行，繼續
modify,v.,修改，更改
narrow,v.,縮小(範圍)
bid,n.,出價，投標
settle,v.,解決，和解
terminate,v.,結束，使終止
challenging,adj.,有挑戰性的，困難的
foundation,n.,基礎；建立，創辦
