vocabulary,pos,mean
brush,v.,漠視，不理會
indict,v.,起訴，控告
nook,n.,角落，隱蔽處
convert,adj.,祕密的，不公開的
demise,n.,死亡
scallop,n.,扇貝
bask,v.,曬(太陽)，取暖；享受
condolence,n.,弔慰
estuary,n.,河口
propulsion,n.,推進(力)
deposition,n.,沉積，堆積
optometrist,n.,驗光師
molar,n.,臼齒
gorge,v.,貪婪地吃
lurk,v.,埋伏，潛伏
dermal,adj.,皮膚的，表皮的
vascular,adj.,血管的，維管的
crack,v.,解開(難題)
intrustive,adj.,侵入的；冒失的
blight,n.,(都市)荒廢，無秩序化
capillary,adj.,毛細管
kernel,n.,核仁，核心
pounce,v.,猛撲，突然襲擊
epicenter,n.,震央
repellent,adj.,有驅趕效果的；令人厭惡的
levy,v.,徵收(稅金)
curator,n.,館長
inscribe,v.,鐫刻，題字
revenue,n.,稅收，收入
relic,n.,遺跡，遺物
attest,v.,證明(真實性)，作…見證
deputy,v.,副手，代理人
tract,n.,廣闊
rebellion,n.,叛亂，叛變
equity,n.,普通股；公平；公正行為
ascertain,v.,確認，查明
compliance,n.,遵守，服從
conceit,n.,自負，驕傲
concur,v.,同意，意見一致
