vocabulary,pos,mean
opt,v.,選擇
provoke,v.,激怒，使氣惱
cue,n.,提示，信號
reside,v.,居住，信號
restless,adj.,靜不下來的，不能安寧的
forsake,v.,離開；拋棄；革除
chronological,adj.,編年的
raise,v.,提出；養育
prescribe,v.,開藥；指示
overlap,v.,部分重疊
compel,v.,強迫，迫使
stumble,v.,意外發現；蹣跚而行；絆倒
tedious,adj.,煩人的，冗長乏味的
facilitate,v.,使容易
burden,n.,負擔
grasp,v.,領悟；握緊
spell,n.,魔力，魅力；著魔
render,v.,使得，使成為
extract,v.,取出，拔出，析取
destine,v.,注定
confront,v.,面臨
depression,n.,蕭條；沮喪
handle,v.,處理，管理
flourish,v.,長得茂盛，興旺，繁榮
algae,n.,藻類
tidal,adj.,潮汐的
crucial,adj.,決定性的
score,n.,樂譜；配樂；得分
preeminent,adj.,卓越的，超群的
roam,v.,漫遊
prestigious,adj.,聲望高的
pueblo,n.,印地安人的部落
soak,v.,吸收；浸泡；滲透
liner,n.,襯裡，襯墊
scorching,adj.,熾熱的
