vocabulary,pos,mean
resume,n.,履歷表
opening,n.,空缺，職缺；開張，開始
applicant,n.,申請者，應徵者
requirement,n.,必要條件
meet,v.,滿足，符合 (要求、條件等)
qualified,adj.,有資格的，勝任的
candidate,n.,候選者，應徵者
confidence,n.,信心，自信；信任
highly,adv.,很，非常
professional,adj.,專業的，職業的
professional,n.,專家
interview,n.,面試
hire,v.,雇用
training,n.,訓練
reference,n.,推薦信；參考
position,n.,職位；位置
achievement,n.,成就，達成
impressed,adj.,感到印象深刻
excellent,adj. ,優秀的，傑出的
eligible,adj.,有資格的，合適的
interview,v.,對…進行面試
identify,v.,辨認的，認出
associate,v.,使有關聯
condition,n.,條件
employment,n.,受雇，就業
lack,v.,缺乏，缺少
managerial,adj.,管理的
diligent,adj.,勤奮的
familiar,adj.,熟悉的，親近的
proficiency,n.,熟練，精通
prospective,adj.,預期的，未來的
appeal,v.,呼籲，有吸引力的
specialize,v.,專攻，專門從事
lack,n.,缺乏(某物)
apprehensive,adj.,擔心的，憂慮的
consultant,n.,顧問
entitle,v.,給…權力
degree,n.,學位
payroll,n.,薪水帳冊，發薪名單
recruit,v.,招募(新進人員等)
certification,n.,(資格)證明
occupation,n.,職業
wage,n.,薪水
