vocabulary,pos,mean
survey,n.,調查，意見調查
analysis,n.,分析
respondent,n.,回答者，受訪者
monopoly,n.,(商品的)獨佔，壟斷
competiton,n.,競爭
consistently,adv.,一貫地，始終如一地
demand,n.,需求
demand,v.,堅決請求
do one's utmost,phr.,盡全力
expand,v.,擴張，擴大
advanced,adj.,高階的；先進的
postpone,v.,使延期，延後
additional,adj.,額外的，附加的
appreciate,v.,感謝；賞識；欣賞
demonstration,n.,證明；說明，示範操作
buy,v.,買，購買
examine,v.,檢查，審查
effective,adj.,有效的；(法律的)生效的，已實行的
like,v.,喜歡的
espectially,adv.,尤其，特別
closely,adv.,仔細地，嚴密地
reserve,v.,預約，保留；保存
cooperate,v.,協力，合作
very,adv.,非常，很
consecutive,adj.,連續的
expectation,n.,預期，期待
publicize,v.,公布；宣傳
raise,v.,提高，增加；提出(疑問)
extremely,adv.,極度地，非常
affect,v.,影響，對…產生不好的作用
target,n.,目標
target,v.,以…為目標
campaign,n.,活動，競選活動
probable,adj.,有可能的
focus,v.,聚集，集中
seasonal,adj.,季節的，季節性的
impact,n.,影響，衝擊
comparison,n.,比較
gap,n.,差距
mounting,adj.,增加中的，上升中的
reflective,adj.,反映的
