vocabulary,pos,mean
pane,n.,窗玻璃；鑲板
vibrate,v.,震動
stick,v.,卡在…無法移動
absorb,v.,吸收
quit,v.,離職，辭職
guess,v.,認為，想；推測
status,n.,情形，狀態
drop,v.,退選
approval,n.,許可，同意
terrible,adj.,嚴重的；糟糕的；駭人的
semester,n.,一學期
psychology,n.,心理學
dean,n.,系主任
assemble,v.,組裝，裝配
hazard,n.,危險
diagram,n.,圖表，圖解
bet,v.,打賭
comet,n.,彗星
settle,v.,定居；解決
starve,v.,挨餓，飢餓
archeologist,n.,考古學家
crop,n.,農作物
infant,n.,嬰兒，幼兒
instinct,n.,本能，直覺
expose,n.,暴露
peak,n.,高峰，頂尖
pollution,n.,汙染
cattle,n.,牛群，牲口
suspend,v.,暫停；停學，停賽
marvelous,adj.,不可思議的
masterpiece,n.,傑作
