vocabulary,pos,mean
ambassador,n.,大使
amber,n.,琥珀
ambiguity,n.,模稜兩可
ambition,n.,報復；野心
ambulance,n.,救護車
ambush,v.；n.,埋伏；伏擊
amend,v.；n.,修訂；訂正
amiable,adj.,和藹的
among,prep.,在…當中
amount,v.；n.,共計；數量
ample,adj.,大量的；充沛的
amuse,v.,娛樂；使快樂
analogy,n.,比擬；類比
ancestor,n.,祖先
anchor,v.；n.,停泊；錨
ancient,n.,軼事；趣聞
anew,adv.,重新
angle,n.,角度
animate,v.；adj.,使…有生命力；活生生的
ankle,n.,腳踝
anniversary,n.,周年紀念日
announce,v.,宣布
annoy,v.,使懊惱，使困擾
annual,n.；adj.,年鑑；一年一次的
anonymity,n.,匿名
anorexia_nervosa,n.,厭食症
antagonism,n.,對抗；敵對；對立
antarctic,adj.,南極地區的
antenna,n.,觸角；天線
anterior,adj.,前面的，先前的
anthem,n.,國歌
antibody,n.,抗體
anticipate,v.,期望；預料
antioxidant,n.,抗氧化劑
antique,n.；adj.,古物；陳舊的
antonym,n.,反義字
anxiety,n.,焦慮
apart,adj.,分開的；相隔的
apathy,n.,冷漠；漠不關心
apex,n.,頂點；頂峰
