vocabulary,pos,mean
dissent,v.,反對，不同意
segregation,n.,種族隔離；分離
sober,adj.,認真嚴肅的；節制的
perish,v.,死亡，毀滅，腐爛
arbitrary,adj.,任性的，專斷獨行的
prompt,v.,促使，激起，誘發
preside,v.,統轄；擔任
comply,v.,遵守，服從
personnel,n.,全體人員
bankruptcy,n.,破產
consecutive,adj.,連續不斷的
criterion,v.,準則
whril,v.,旋轉，迴旋
testimony,n.,證詞；證據
expire,v.,期滿，終止
margin,n.,差距；邊緣；利潤
ordinance,n.,法令，布告，條例
fierce,adj.,凶狠的
adverse,adj.,有害的；相反的；敵對的
innate,adj.,天生的，固有的
virtually,adv.,幾乎；實質上，事實上
solicit,v.,設法獲得，懇求…給予
leak,v.,洩漏
agent,n.,因子
nominal,adj.,微不足道的；名義上的
abuse,n./v.,濫用；虐待
barely,adv.,幾乎沒有，僅僅
withdraw,v.,退出；(提議)收回；(訴訟)撤回
coverage,n.,新聞報導
postulate,v.,假設；要求
raid,n.,襲擊，搜捕
sluggish,adj.,行動遲緩的，反應遲鈍的
redundant,adj.,累贅的，冗長的，多餘的
