vocabulary,pos,mean
comprehensive,adj.,全面的
representation,n.,代表者，代表團
constitution,n.,憲法
preliminary,adj.,初步的，初期的
detect,v.,發現，發覺
catatrophic,adj.,災難性的；激變的
asteroid,n.,小行星
track,v.,追蹤；探知
subject,v.,使遭受；使服從
fraction,n.,一點兒，碎片
crust,n.,地殼；硬的表面
fold,n.,褶曲；折疊
stabilize,v.,使穩定；使平衡
distribute,v.,分配，分發
till,v.,耕耘
fertilizer,n.,肥料
decline,v.,下降，減少；拒絕
critical,adj.,關鍵的
trace,v.,追蹤；探查
mine,v.,挖掘，開採
extinction,n.,滅絕，絕種
markedly,adv.,明顯地，顯著地
bill,n.,廣告，海報；鳥嘴；法案
precede,v.,在…之前，先於
deliberate,adj.,刻意的，蓄意的
repel,v.,擊退
periodically,adv.,定期地
prevailing,adj.,盛行的；佔優勢的
laden,adj.,充滿的
split,v.,分裂，切開
latitude,n.,緯度
liability,n.,不利的事情，缺點；負債；責任
soar,v.,(物價、利益)急速升高
seteriorate,v.,惡化
