vocabulary,pos,mean
hinterland,n.,腹地，內陸；
demographic,adj.,人口的；人口統計學的
province,n.,州，省
incubate,v.,使孵化，孵(蛋)
gradient,n.,梯度，傾斜度；坡度
composite,adj.,組成的，混和的
dampen,v.,使潮濕
sediment,n.,沉積物，沉澱物
pigment,n.,顏料，色素
empathy,n.,同理心，同感，移情作用
pretentious,adj.,自命不凡的，自負的
facade,n.,(虛假的)表面；(建築物)正面
expertise,n.,專業知識，專業技術，專業能力
compulsory,adj.,強制的；有義務的；必修的
primate,n.,靈長類動物
glaze,n.,(瓷器上)釉；光滑表面
kiln,n.,窯，爐
apprentice,v.,成為學徒
tantalizing,adj.,誘人的，使人乾著急
radiant,adj.,光芒四射
cylindrical,adj.,圓柱狀的，圓筒狀的
improvise,v.,即興創作
filmy,adj.,朦朧的；薄膜的
amenable,adj.,經得起檢驗的；順從的
cipher,v.,用暗號或密碼寫
deforestation,n.,森林砍伐
appreciable,adj.,相當可觀的，可察覺的
conifer,n.,針葉樹
fabric,n.,結構，組織
jumble,v.,使混亂
tributary,n.,支流
drainage,n.,流域，排水系統
speculation,n.,推斷；思索；投機
save,prep.,除了…以外
recoil,v.,彈回，反彈
mimetic,adj.,模仿的；虛有其表的
voracious,adj.,食慾旺盛的
squirt,v.,噴出
