vocabulary,pos,mean
advertisement,n.,廣告
marginal,adj.,微小的，邊緣的
customer,n.,顧客
influence,v.,影響
influence,n.,影響，作用；有影響的人(或物)
instantly,adv.,立即，馬上
creative,adj.,創造性的，有創意的
aggressively,adv.,積極地
aim,v.,以…為目標
aim,n.,目標，目的
strategy,n.,策略
indicate,v.,指出，顯示
attract,v.,吸引，引起(興趣等)
experience,n.,經驗，體驗
analyze,v.,分析
introduce,v.,介紹，發表(商品)
advise,v.,勸告，建議
subscribe,v.,訂閱
absence,n.,不在，減少；缺席，缺勤
means,n.,方法，手段
prefer,v.,(比其他的東西)更喜歡，偏好
advantage,v.,優點，優勢
forward,adv.,向前
forward,v.,轉交，轉寄(物品、信件等)
comtemporary,adj.,同時代的；當代的，現代的
discussion,n.,討論，談論
initial,adj.,開始的，最初的
steadily,adv.,平穩地，穩定地
necessarily,adv.,必然
resolve,v.,解決(問題等)
detect,v.,察覺，發現
intensify,v.,強化，增強，使…變強
favorably,adv.,善意地；順利地
cover,v.,包含；支付；覆蓋
less,adj.,較少的，較小的
majority,n.,大部分，大多數
adopt,v.,採納
largely,adv.,大多數，主要地；在很大程度上
disregard,v.,不理會，忽視
effort,n.,努力
incentive,n.,獎勵，獎金
need,n.,需要，需求
mastermind,n.,(計畫等的)策畫者
