vocabulary,pos,mean
refund,n.,退款
annex,n.,增建的大樓
quest,n.,探索，追求
precipitation,n.,降雨
itch,v.,發癢
pollen,n.,花粉
thump,n.,碰然聲
tease,v.,戲弄，嘲弄
tweezers,n.,鑷子
intramural,adj.,校內的
criticize,v.,挑剔，批評
flunk,v.,不及格
caterpillar,n.,毛毛蟲
wasp,n.,黃蜂
consciousness,n.,意識
repent,v.,感到懊悔
domain,n.,領域，範圍
thrifty,adj.,節儉的
stalk,v.,悄然逼近
outgoing,adj.,外向的；好交際的
astronomer,n.,天文學家
sprinkle,v.,撒；下小雨
amiable,adj.,友好的，和藹可親的
transplant,v.,移植
pregnant,adj.,懷孕的
tide,n.,潮汐
successive,adj.,持續不斷的；繼承的
timid,adj.,膽怯的
imprisonment,n.,監禁
patent,v.,取得(發明)專利
incline,v.,使…有某種傾向；傾斜
monetary,adj.,貨幣的，金錢的
compromise,n.,和解，妥協
