vocabulary,pos,mean
outweigh,v.,比…更重要；比…更重
house,v.,收容
mock,v.,嘲笑
aesthetic,adj.,嘲笑；模仿
meteorite,n.,隕石
disintegrate,v.,碎裂，崩裂
glacier,n.,冰河
stark,adj.,鮮明的，顯而易見的
hurl,v.,用力扔或摔
precursor,n.,先驅，前輩
dogma,n.,信條，教義
devise,v.,設計，發明
reflection,n.,鏡像，倒影
milestone,n.,里程碑
diversity,n.,多樣性，差異
jolt,v.,使震驚；搖動
runoff,n.,徑流
equate,v.,等同於，使相等
inflict,v.,加諸於，使遭受
flux,n.,流動；不斷變化
genetic,adj.,基因；遺傳的
state,n.,狀態；州；國家
precipetate,v.,使沉澱；使凝結
modify,v.,修正；修飾
trickle,v.,細細地流
fertile,adj.,肥沃的，富饒的
mechanical,adj.,機械的
rear,v.,撫養；飼養
scale,v.,攀登
pose,v.,造成；提出
hatch,v.,孵化
conspicuous,adj.,顯而易見的
bias,n.,偏見
exorbitant,adj.,過高的，不合理的
regulate,v.,控管；調整
proponent,n.,支持者；提議人
content,v.,使滿足
