vocabulary,pos,mean
attribute,v.,將…歸因於
intrigue,v.,激起…的興趣
geometirc,adj.,幾何的
scan,v.,細細檢視
orbit,v.,繞著軌道運行
reasoning,n.,推論，推理
address,v.,對…提出
exhibit,v.,展示，顯示
inductive,adj.,歸納的
excavate,v.,挖掘，發掘
overhang,n.,突出部分
sequence,n.,連續，一連串
millennium,n.,一千年，千禧年
attain,v.,達到，實現
nuance,n.,細微差異
shroud,v.,覆蓋，遮蔽
solitary,adj.,孤獨的，單獨的
vertical,adj.,垂直的，豎立的
pop,v.,突然出現
allocate,v.,分配，分派
concrete,adj.,具體的，明確的
discipline,n.,學科
credit,n.,榮譽，功勞
paradigm,n.,思維模式
pesticide,n.,殺蟲劑
incorporate,v.,結合，合併
monitor,v.,監控
restore,v.,使恢復
yield,v.,屈服，讓出
advocate,v.,提倡，鼓吹，主張
census,n.,人口普查
figure,n.,數字；外型；人物
