vocabulary,pos,mean
furnished,adj.,配有家具的
residence,n.,住處，住宅
spacious,adj.,(空間)寬敞的
drape,v.,用窗簾等裝飾
unoccupied,adj.,(房子)空著的，沒有人住的
renovation,n.,整修，翻修
appropriate,adj.,合適的，適當的
community,n.,社區，社會
construction,n.,建設，建築物
repair,v.,修理
currently,adv.,現在，目前
regularily,adv.,定期地
arrange,v.,布置，整理
restore,v.,恢復，修復
presently,adv.,現在
numerous,adj.,許多的
abamdon,v.,放棄，中止；拋棄
contractor,n.,承包商
develop,v.,開發
maintain,v.,維持，保養
densely,adv.,密集地
district,n.,地區，區域
renewal,n.,更新
compulsory,adj.,義務的，必須做的
interfere,v.,妨礙
relocation,n.,遷移
totally,adv.,完全，全然
actually,adv.,實際上，事實上
architect,n.,建築師
enlarge,v.,擴大
permanent,adj.,永久的
suppose,v.,認為，猜想
adjacent,adj.,鄰接的
consist,v.,構成，組成
utility,n.,公共事業，公共事業費用
