vocabulary,pos,mean
humidity,n.,濕氣，濕度
trait,n.,特徵，特點
missionary,n.,傳教士
stimulus,n.,刺激
entrepreneur,n.,企業家
timepiece,n.,時鐘，座標
account,v.,佔(相當的)部分
afford,v.,供給，給予
profusion,n.,大量，豐富
occupy,v.,佔領
invaluable,adj.,寶貴的，無價的
plane,n.,平面
seep,v.,滲漏，滲出
dissolve,v.,溶解
crevice,n.,裂縫
collapse,v.,崩毀
rubble,n.,碎片，瓦礫
diminish,v.,降低，減少
identify,v.,辨別，鑑別出
perch,n.,鳥類棲息處，棲木
feed,v.,以…為食
rodent,n.,齧齒類動物
tractics,n.,策略，手段；戰術
restriction,n.,限制，約束
invariably,adv.,不變地
mill,n.,工廠
regional,adj.,區域性的，地域性的
outgrowth,n.,結果、產物
incentive,n.,激勵，動機
harness,v.,產生動力
innovation,n.,創新，革新
inpede,v.,阻礙，阻止
radiation,n.,輻射；輻射能
