vocabulary,pos,mean
appoint,v.,任命，指派
appraisal,n.,評價
promote,v.,使升值；促進
skilled,adj.,熟練的，有技能的
radically,adv.,根本地，徹底地
exceptional,adj.,優異的，例外的
apreciation,n.,感謝，欣賞
evaluate,v.,評價
suggest,v.,建議
preference,n.,偏好
management,n.,管理，經營，經營團隊
transfer,v.,轉移；使調職
award,n.,獎
award,v.,授予(獎項)
mandatory,adj.,義務性的
competent,adj.,有能力的，勝任
performance,n.,表現，成果；表演，演出，演奏
reward,v./n.,報償，回報
inexperience,adj.,沒經驗的，不熟練的
early,adj.,早的，提早的
designate,v.,指定，指派
executive,adj.,經營管理的
dedication,n.,專心致力，奉獻
unanimously,adv.,全體意見一致
progress,n.,行進，進步，進展
congratulate,v.,祝賀
dismiss,v.,解雇
independence,n.,獨立
participation,n.,參與，參加，加入
praise,n.,稱讚
accomplishment,n.,成就
deliberation,n.,商議，審議
leadership,n.,領導，領導才能
retire,v.,退休
nomination,n.,提名，任命
reorganize,v.,重新組織，改組
serve,v.,服務，擔任
encouragement,n.,鼓勵
resignation,n.,辭呈，辭職
strictly,adv.,嚴格地
