vocabulary,pos,mean
host,v.,主辦(大會)
annual,adj.,年度的，一年一度的
purpose,n.,目的，意圖
enroll,v.,登記(報名)
lecture,n.,講座，演講
participant,n.,參與者
attend,v.,出席，參加
encourage,v.,鼓勵，促使
leave,n.,休假
conference,n.,會議，演討會
schedule,v.,預定…的時間
result,v.,導致(…的結果)
register,v.,登記，註冊
grateful,adj.,感謝的，感激的
overtime,n.,加班時間
responsibility,n.,責任，義務
assent,v./n.,同意，贊成
regard,v.,認為…是，看待
regard,n.,關心，注意
tentative,adj.,暫定的，試驗性的
welcome,adj.,受歡迎的
function,n.,盛大的聚會；功能
commence,v.,開始
objective,n.,目標，目的
reimbursement,n.,補償，費用核銷
treatment,n.,對待，處理
honer,n.,榮譽，尊敬
emphasize,v.,強調
entry,n.,(比賽)參賽者，參賽作品
bonus,n.,獎品，紅利
salary,n.,薪水
earn,v.,賺(錢)；贏得，獲得(好評)
arise,v.,(問題等)出現，產生
labor,n.,勞動
labor,v.,做粗活
union,n.,工會
existing,adj.,現存的，現行的
exploit,v.,剝削，濫用
